epoch,accuracy,loss,val_accuracy,val_loss
1,0.3688,2.3835,0.4467,2.1420
2,0.4459,2.0245,0.5017,1.9138
3,0.4927,1.7942,0.5387,1.7690
4,0.5317,1.6429,0.5533,1.6725
5,0.5612,1.5375,0.5578,1.6321
6,0.5788,1.4670,0.5774,1.5694
7,0.5963,1.4040,0.5909,1.5191
8,0.6074,1.3553,0.5954,1.5000
9,0.6229,1.3083,0.6038,1.4534
10,0.6304,1.2678,0.6173,1.4174
11,0.6336,1.2342,0.6336,1.3816
12,0.6441,1.2112,0.6184,1.4023
13,0.6584,1.1664,0.6386,1.3653
14,0.6649,1.1469,0.6134,1.3734
15,0.6712,1.1216,0.6375,1.3321
16,0.6726,1.1005,0.6369,1.3581
17,0.6773,1.0921,0.6375,1.3129
18,0.6875,1.0594,0.6554,1.2979
19,0.6909,1.0361,0.6414,1.2913
20,0.7006,1.0158,0.6498,1.2857
